Date,Open,High,Low,Close,Adj_Close,Volume,Day
2014-11-05,185.740005,185.779999,184.740005,185.589996,158.575607,1826500,283
2014-11-06,185.570007,186.380005,184.899994,186.339996,159.216446,1758600,284
2014-11-07,186.339996,186.679993,185.800003,186.5,159.353149,1396400,285
2014-11-10,186.479996,187.100006,186.270004,187.059998,159.831665,1876400,286
2014-11-11,187.139999,187.339996,186.779999,187.240005,159.985458,1031600,287
2014-11-12,186.490005,187.279999,186.460007,187.089996,159.857254,2742900,288
2014-11-13,187.240005,187.839996,186.380005,187.259995,160.002533,1163600,289
2014-11-14,187.190002,187.529999,186.850006,187.330002,160.062317,1464500,290
2014-11-17,186.929993,187.589996,186.759995,187.429993,160.147766,584600,291
2014-11-18,187.479996,188.820007,187.479996,188.509995,161.070557,1252600,292
2014-11-19,188.25,188.479996,187.369995,188.169998,160.780075,1880800,293
2014-11-20,187.289993,188.639999,187.289993,188.509995,161.070557,866800,294
2014-11-21,190.429993,190.479996,188.949997,189.570007,161.976318,1586200,295
2014-11-24,190.020004,190.210007,189.770004,190.059998,162.394958,1365900,296
2014-11-25,190.339996,190.559998,189.660004,190,162.343674,1736700,297
2014-11-26,190.100006,190.520004,189.880005,190.440002,162.719666,824400,298
2014-11-28,190.300003,190.630005,189.759995,190.029999,162.369354,430200,299
2014-12-01,189.289993,189.389999,188.360001,188.729996,161.258514,2083600,300
2014-12-02,188.710007,190.130005,188.710007,189.919998,162.275345,1446800,301
2014-12-03,190.100006,190.880005,189.970001,190.649994,162.899063,2240100,302
2014-12-04,190.350006,190.990005,189.570007,190.460007,162.736786,1573000,303
2014-12-05,190.649994,191.190002,190.350006,190.800003,163.027222,2215900,304
2014-12-08,190.350006,190.830002,188.850006,189.5,161.916519,1527800,305
2014-12-09,187.429993,189.470001,186.979996,189.350006,161.788315,1763100,306
2014-12-10,188.860001,188.860001,186.100006,186.380005,159.250641,1749800,307
2014-12-11,186.979996,189.070007,186.809998,187.25,159.993973,1972600,308
2014-12-12,186,186.899994,184.169998,184.210007,157.396484,2614400,309
2014-12-15,185.259995,185.720001,182.270004,182.929993,156.302841,2801400,310
2014-12-16,182.100006,185.539993,181.440002,181.520004,155.098022,3837500,311
